film_id,film_name,duration,category,language,year,rating
3446065,A.i. Artificial Intelligence,145,sci-fi,English,2001,PG-13
1209641,A Nous la Liberte,97,comedy,English,1931,NR
317484,Abe Lincoln in Illinois,110,drama,English,1940,NR
3710656,About a Boy,118,comedy-drama,English,2002,PG-13
3857698,About Schmidt,126,comedy-drama,English,2002,R
308779,Above and Beyond,122,drama,English,1952,NR
2215,Absence of Malice,116,drama,English,1981,PG
1199554,The Absent-Minded Professor,97,comedy,English,1961,G
1199554,The Absent-Minded Professor,97,comedy,English,1961,G
232664,The Abyss,138,sci-fi,English,1989,PG-13
279891,The Accidental Tourist,121,drama,English,1988,PG
1223206,The Accountant,120,comedy-drama,English,1990,NR
285816,The Accused,111,drama,English,1988,R
7092537,Across the Universe,133,musical,English,2007,PG-13
54782,Action in the North Atlantic,127,drama,English,1943,NR
414824,The Actress,91,drama,English,1953,NR
18701855,Ådalen 31,115,drama,English,1969,NR
9504766,Adam,99,drama,English,2009,PG-13
21538301,Adam and Dog,17,drama,English,2012,NR
3393889,Adam Clayton Powell,60,documentary,English,1989,NR
322876,Adam's Rib,101,comedy,English,1949,NR
3857577,Adaptation,115,comedy-drama,English,2002,R
349801,The Addams Family,105,comedy,English,1991,PG-13
216522,Addams Family Values,94,comedy,English,1993,PG-13
1199568,Address Unknown,72,drama,English,1944,NR
10701123,Havoc 2: Normal Adolescent Behavior,93,drama,English,2007,R
19313996,The Adventures of Tintin,106,action/adventure,English,2011,PG
18771091,Adventures In Perception,0,documentary,English,1971,NR
56043,The Adventures of Baron Munchausen,124,action/adventure,English,1989,PG
81637,Adventures of Don Juan,110,action/adventure,English,1948,NR
79968,The Adventures of Mark Twain,130,biography,English,1944,NR
1237212,"The Adventures of Priscilla, Queen of the Desert",105,comedy,English,1994,R
23628,The Adventures of Robin Hood,102,action/adventure,English,1938,NR
79970,Adventures of Robinson Crusoe,90,action/adventure,English,1954,NR
19313996,The Adventures of Tintin,106,action/adventure,English,2011,PG
171397,The Adventures of Tom Sawyer,77,action/adventure,English,1938,NR
1199413,Affair in Trinidad,98,crime drama,English,1952,NR
3528699,The Affair of the Necklace,120,drama,English,2001,R
265649,An Affair to Remember,115,drama,English,1957,NR
1199312,The Affairs of Cellini,79,biography,English,1934,NR
1199417,The Affairs of Susan,110,comedy,English,1945,NR
1306416,Affliction,114,drama,English,1998,R
19363473,Captain America: The First Avenger 3D,124,action/adventure,English,2011,PG-13
54941,The African Queen,105,drama,English,1951,PG
21396386,After Tiller,85,documentary,English,2013,PG-13
52121,After the Thin Man,113,mystery & suspense,English,1936,NR
6742286,After the Wedding,120,drama,English,2007,R
317463,Afterglow,113,comedy-drama,English,1997,R
18696188,Against All Odds,60,action/adventure,English,1924,NR
20912651,About Time,123,comedy,English,2013,R
1199521,Agatha,100,mystery & suspense,English,1979,PG
199743,The Age of Innocence,139,drama,English,1993,PG
18766722,Agee,98,documentary,English,1980,NR
1199605,Agnes of God,98,drama,English,1985,PG-13
243801,The Agony and the Ecstasy,140,drama,English,1965,NR
21771131,August: Osage County,121,comedy-drama,English,2013,R
32075,Air Force,124,drama,English,1943,NR
131238,Air Force One,124,action/adventure,English,1997,R
1199532,Airport,137,drama,English,1970,G
530834,Airport '77,113,drama,English,1977,PG
12426875,Ajami,120,drama,English,2009,NR
1227673,Aladdin,90,musical,English,1992,G
6787702,The Alamo,187,western,English,1960,NR
4091792,Alaska: Spirit of the Wild,40,documentary,English,1997,NR
18764432,Alaska Wilderness Lake,0,,English,1971,NR
217269,Eskimo,120,drama,English,1933,NR
19146758,Albert Nobbs,113,drama,English,2011,R
18722127,Albert Schweitzer,114,biography,English,2009,NR
90071,Alexander's Ragtime Band,106,musical,English,1938,NR
