film_id,film_name,theme,theme_id,weight
3446065,A.i. Artificial Intelligence,Robots and Androids,D  1538,9
3446065,A.i. Artificial Intelligence,Future Dystopias,D   566,7
3446065,A.i. Artificial Intelligence,Mothers and Sons,D  1618,5
1209641,A Nous la Liberte,Escape From Prison,D  1481,5
1209641,A Nous la Liberte,Rise To Power,D  1597,5
1209641,A Nous la Liberte,Unrequited Love,D  1552,5
1209641,A Nous la Liberte,Work Ethics,D  1640,5
317484,Abe Lincoln in Illinois,Rise To Power,D  1597,7
317484,Abe Lincoln in Illinois,On the Campaign Trail,D  1395,5
3710656,About a Boy,Playing the Field,D  1703,7
3710656,About a Boy,Unlikely Friendships,D  1770,7
3710656,About a Boy,Mothers and Sons,D  1618,6
3710656,About a Boy,Single Parents,D  1592,6
3710656,About a Boy,Existential Crisis,D  3235,5
3857698,About Schmidt,Fish Out of Water,D  1422,7
3857698,About Schmidt,Fathers and Daughters,D  1616,6
3857698,About Schmidt,Golden Years,D  2233,6
3857698,About Schmidt,Existential Crisis,D  3235,5
3857698,About Schmidt,Wedding Bells,D  1417,4
3857698,About Schmidt,Death of a Partner,D  1678,3
3857698,About Schmidt,Family Gatherings,D  1558,3
308779,Above and Beyond,Military Life,D  1543,5
2215,Absence of Malice,Work Ethics,D  1640,6
2215,Absence of Malice,Members of the Press,D  1643,5
2215,Absence of Malice,Miscarriage of Justice,D  1557,5
1199554,The Absent-Minded Professor,Eccentric Families,D  1418,5
1199554,The Absent-Minded Professor,Experiments Gone Awry,D  1448,5
1199554,The Absent-Minded Professor,Inventors,D  5129,5
1199554,The Absent-Minded Professor,Nothing Goes Right,D  1410,5
1199554,The Absent-Minded Professor,Unlikely Heroes,D  1633,5
1199554,The Absent-Minded Professor,Eccentric Families,D  1418,5
1199554,The Absent-Minded Professor,Experiments Gone Awry,D  1448,5
1199554,The Absent-Minded Professor,Inventors,D  5129,5
1199554,The Absent-Minded Professor,Nothing Goes Right,D  1410,5
1199554,The Absent-Minded Professor,Unlikely Heroes,D  1633,5
232664,The Abyss,Benign Aliens,D  1454,6
232664,The Abyss,Heroic Mission,D  1630,5
232664,The Abyss,Disasters at Sea,D  1589,3
232664,The Abyss,Terror in the Water,D  1578,3
279891,The Accidental Tourist,Starting Over,D  1599,7
279891,The Accidental Tourist,Breakups and Divorces,D  2142,5
279891,The Accidental Tourist,Death of a Child,D  1679,5
279891,The Accidental Tourist,Opposites Attract,D  1490,5
279891,The Accidental Tourist,Haunted By the Past,D  1404,4
1223206,The Accountant,Cons and Scams,D  1607,5
285816,The Accused,Social Injustice,D  1508,7
285816,The Accused,Rape & Sexual Abuse,D  2240,6
285816,The Accused,Haunted By the Past,D  1404,5
285816,The Accused,Redemption,D  1587,5
